DATE (MM/DD/YYYY),HOUR-CST,Avg Global Horizontal [W/m^2],Avg Direct Normal [W/m^2],Avg Diffuse Horizontal [W/m^2],Avg Downwelling IR [W/m^2],Avg Pyrgeometer Net [W/m^2],Avg Global (stdev) [W/m^2],Avg Direct (stdev) [W/m^2],Avg Diffuse (stdev) [W/m^2],Avg IR (stdev) [W/m^2],Avg Net (stdev) [W/m^2],Avg Air Temperature [deg C],Avg Relative Humidity [%],Avg Pressure [mBar]
1/25/2024,1,-1.0136,-0.0824,-1.4755,398.2200,-3.4328,0.0188,0.0712,0.1295,0.0853,0.0552,17.1937,94.8800,1010.4473
1/25/2024,2,-1.0269,-0.3773,-1.7000,396.7367,-2.7445,0.0166,0.0208,0.0732,0.1002,0.0670,16.9127,96.0833,1010.9673
1/25/2024,3,-0.7269,-0.3259,-1.1212,394.3050,-5.3427,0.1274,0.0915,0.0180,0.1304,0.1152,16.9360,93.0783,1011.2413
1/25/2024,4,-0.8740,-0.0797,-1.1101,392.4417,-7.6491,0.1385,0.1444,0.0691,0.1233,0.0984,16.9057,87.1783,1011.1093
1/25/2024,5,-0.9461,-0.1090,-1.2747,387.7367,-11.3003,0.1040,0.1307,0.1490,0.2889,0.2616,16.7577,83.7400,1011.0283
1/25/2024,6,-1.2396,-0.3818,-1.7700,356.1233,-39.6455,0.0901,0.0027,0.0152,0.3327,0.3189,16.3287,83.1633,1010.7437
1/25/2024,7,-1.1813,-0.3825,-1.7771,348.6183,-44.1005,0.0944,0.0000,0.0168,0.2594,0.2484,15.9367,84.3000,1011.0280
1/25/2024,8,20.6591,6.6996,19.8002,343.7150,-46.5955,0.7834,1.9481,0.3403,0.1542,0.1406,15.2460,88.9033,1012.4080
1/25/2024,9,115.4736,64.5981,94.6779,338.7583,-59.2858,5.6189,12.1100,0.6257,0.1501,0.1448,15.9020,86.0750,1013.4037
1/25/2024,10,385.1755,385.3937,98.6078,333.2717,-80.4708,10.8189,14.9511,0.5172,0.2620,0.3124,16.9817,81.2473,1014.0208
1/25/2024,11,543.4715,513.0093,83.0179,337.2033,-92.3033,0.6949,0.8949,0.1270,0.3282,0.3582,18.6777,73.2162,1014.2870
