DATE (MM/DD/YYYY),HOUR-CST,Avg Global Horizontal [W/m^2],Avg Direct Normal [W/m^2],Avg Diffuse Horizontal [W/m^2],Avg Downwelling IR [W/m^2],Avg Pyrgeometer Net [W/m^2],Avg Global (stdev) [W/m^2],Avg Direct (stdev) [W/m^2],Avg Diffuse (stdev) [W/m^2],Avg IR (stdev) [W/m^2],Avg Net (stdev) [W/m^2],Avg CHP1 Temp [deg C],Avg CGR3 Temp [deg C],Avg CHP1 Temp (stdev) [deg C],Avg CGR3 Temp (stdev) [deg C],Avg CR1000 Temp [deg C],Avg CR1000 Battery [VDC]
9/1/2020,1,-1.7744,0.0000,-1.4369,428.5850,-40.7407,0.1272,0.0000,0.1241,0.5104,0.5093,28.7708,28.4723,0.0072,0.0065,31.7745,13.2273
9/1/2020,2,-1.6875,0.0000,-1.0772,440.0817,-28.6425,0.0000,0.0000,0.0260,0.7455,0.7471,28.6705,28.3775,0.0062,0.0070,31.6108,13.2345
9/1/2020,3,-1.6865,0.0000,-1.0621,451.4250,-18.3155,0.0043,0.0000,0.0000,0.7265,0.7308,28.8335,28.5393,0.0050,0.0061,31.6563,13.2383
9/1/2020,4,-1.6878,0.0000,-1.1170,439.3283,-29.3093,0.0017,0.0000,0.0696,0.7155,0.7096,28.6878,28.3633,0.0070,0.0065,31.6172,13.2392
9/1/2020,5,-1.7074,0.0000,-1.3222,425.3033,-40.5478,0.0504,0.0000,0.2346,0.4397,0.4303,28.2172,27.9142,0.0058,0.0063,31.2740,13.2537
9/1/2020,6,-2.2953,0.0000,-1.7149,421.0817,-45.0652,0.0159,0.0000,0.0186,0.2123,0.1998,28.2208,27.9622,0.0053,0.0045,31.2403,12.2333
9/1/2020,7,28.4436,0.0000,27.3622,421.7100,-46.7855,1.5025,0.0000,1.3006,0.1508,0.1340,28.5338,28.3397,0.0095,0.0108,31.6357,12.0680
9/1/2020,8,167.8897,0.0399,160.9681,437.7833,-42.2165,23.6085,0.0295,21.6073,1.1147,1.1021,30.2297,30.1732,0.0134,0.0184,32.4995,12.9335
9/1/2020,9,376.3414,0.2944,360.3228,442.9133,-48.7738,73.2019,0.1170,67.9418,1.3527,1.3340,32.1272,32.0000,0.0208,0.0338,33.7813,13.0675
9/1/2020,10,611.4832,0.7531,594.7217,448.4167,-59.7878,76.7574,0.0655,74.4300,0.8455,0.8351,34.7738,34.5282,0.0276,0.0380,35.6420,13.1407
9/1/2020,11,638.1828,1.0550,626.7859,469.0600,-51.4127,117.5751,0.0690,114.5912,1.2237,1.2236,36.7848,36.3730,0.0284,0.0451,37.8278,13.1103
9/1/2020,12,848.5909,1.4588,844.8572,470.6167,-64.6363,87.5433,0.1087,86.9245,1.0831,1.0959,38.8085,38.5463,0.0196,0.0350,39.6120,13.0822
9/1/2020,13,949.1391,1.9938,953.7275,476.2250,-72.2035,9.4872,0.0871,9.6009,0.5436,0.5627,40.5982,40.4493,0.0193,0.0297,41.5722,13.0498
9/1/2020,14,890.9546,2.0456,895.3401,479.4533,-72.7085,5.6103,0.0640,5.6678,0.4496,0.4691,40.8525,40.9825,0.0136,0.0268,42.7035,13.0342
9/1/2020,15,781.0007,1.4705,787.9034,480.7833,-74.5858,1.8447,0.0804,1.8583,0.3994,0.4230,41.0908,41.4382,0.0145,0.0280,43.4808,13.0142
9/1/2020,16,616.7106,0.7491,626.7332,473.6383,-70.1908,1.3039,0.0793,1.3268,0.3621,0.4468,39.4558,39.7843,0.0195,0.0356,43.3162,13.0110
9/1/2020,17,426.6518,0.0497,439.5020,460.4000,-67.7415,1.0519,0.0429,1.0505,0.2664,0.2832,37.0522,37.5082,0.0112,0.0205,41.5315,13.0433
9/1/2020,18,212.0758,-0.3857,222.9847,448.2200,-66.2132,1.0643,0.0331,1.0849,0.2027,0.2123,35.3417,35.4702,0.0120,0.0193,39.5700,13.0703
9/1/2020,19,34.9543,-0.3602,37.8737,437.4417,-58.9422,0.5573,0.0175,0.5909,0.1643,0.1286,33.2345,32.7267,0.0155,0.0156,37.3337,13.1137
9/1/2020,20,-2.3067,0.0000,-1.7495,428.6317,-55.2373,0.0207,0.0000,0.0087,0.1159,0.0857,31.1372,30.7830,0.0089,0.0085,35.1487,13.1470
9/1/2020,21,-2.3594,0.0000,-1.7694,423.4433,-54.3452,0.0113,0.0000,0.0000,0.1376,0.1097,30.1392,29.8230,0.0078,0.0078,33.7330,13.1828
9/1/2020,22,-2.3154,0.0000,-1.7697,420.6200,-54.0593,0.0989,0.0000,0.0000,0.2012,0.1892,29.6088,29.3295,0.0065,0.0062,32.8735,13.2060
9/1/2020,23,-2.3424,0.0000,-1.7699,418.5850,-54.7165,0.0525,0.0000,0.0000,0.2516,0.2450,29.3880,29.1095,0.0059,0.0052,32.4087,13.2282
9/2/2020,0,-2.3594,0.0000,-1.7699,414.7200,-56.6808,0.0109,0.0000,0.0000,0.1221,0.0999,29.0873,28.8075,0.0053,0.0087,32.0245,13.2255
9/2/2020,1,-2.2886,0.0000,-1.7503,415.9033,-53.1315,0.0945,0.0000,0.0108,0.1664,0.1405,28.7080,28.4253,0.0061,0.0082,31.6608,13.2297
9/2/2020,2,-1.6625,0.0000,-1.0621,454.0967,-15.0477,0.0490,0.0000,0.0000,0.5407,0.5359,28.7075,28.4435,0.0048,0.0051,31.5742,13.2338
9/2/2020,3,-1.7981,0.0000,-1.3305,431.6367,-35.4898,0.1035,0.0000,0.0201,0.9501,0.9457,28.4302,28.1187,0.0070,0.0065,31.5042,13.2445
9/2/2020,4,-2.3237,-0.0004,-1.7702,408.2900,-55.3387,0.0810,0.0028,0.0000,0.4835,0.4807,27.8263,27.5543,0.0064,0.0069,30.9235,13.2570
9/2/2020,5,-2.2368,0.0000,-1.7574,408.2350,-53.8843,0.1378,0.0000,0.0155,0.6880,0.6812,27.5842,27.3100,0.0063,0.0086,30.5262,13.2550
9/2/2020,6,-2.3811,0.0000,-1.9310,408.5733,-50.8452,0.0555,0.0000,0.0899,0.7787,0.7760,27.1307,26.8685,0.0080,0.0069,30.3762,12.2227
9/2/2020,7,26.2888,0.0000,25.7696,410.7100,-50.4572,1.5653,0.0000,1.4123,1.1907,1.1962,27.3367,27.1540,0.0062,0.0084,30.6085,12.0588
9/2/2020,8,135.0200,0.0011,130.6475,430.5200,-38.4772,22.1315,0.0036,20.1657,2.2211,2.2070,28.4735,28.4180,0.0112,0.0171,31.0960,12.9423
9/2/2020,9,360.5202,0.4160,342.7483,423.9900,-62.7383,75.7093,0.0714,70.6660,1.2841,1.2790,31.2452,31.2272,0.0273,0.0412,32.6723,13.0745
9/2/2020,10,656.4939,0.8185,638.8536,436.1700,-71.3393,42.1022,0.0872,40.9225,0.7928,0.7989,34.6268,34.4195,0.0290,0.0369,34.9990,13.1405
9/2/2020,11,786.2220,1.2989,768.2320,449.0450,-75.4973,69.9251,0.1028,67.8939,1.0287,1.0094,37.6563,36.9770,0.0228,0.0366,37.8370,13.1135
